"bike_data_v2$member_casual","bike_data_v2$day_of_week","bike_data_v2$ride_length"
"casual","Sunday",2933.55313261484
"member","Sunday",1048.27197889662
"casual","Monday",2532.90957822277
"member","Monday",895.167651915927
"casual","Tuesday",2280.1221188909
"member","Tuesday",874.394319037327
"casual","Wednesday",2298.72191822091
"member","Wednesday",888.831242223144
"casual","Thursday",2394.43274475652
"member","Thursday",876.866128999243
"casual","Friday",2430.15635389131
"member","Friday",912.867347811949
"casual","Saturday",2673.90599301765
"member","Saturday",1019.49949941622
